Cities,Latitudes,Longitudes,Max Temps,Humidity,Cloudiness,Wind Speed
Santa Maria,-29.69,-53.81,77,57,40,6.93
Santiago Del Estero,-27.8,-64.26,83.65,58,0,16.04
Santo Tomas,15.88,120.59,73.57,80,12,5.97
Sao Miguel Do Araguaia,-13.28,-50.16,82.3,100,32,4.18
Sao Paulo De Olivenca,-3.38,-68.87,83.92,79,56,2.95
Saryozek,44.36,77.98,36.31,77,48,2.73
Savinskiy,62.93,40.14,33.07,85,92,14.7
Schongau,47.81,10.9,59,46,0,4.7
Sebring,27.5,-81.44,79,29,1,3.36
Seguin,29.57,-97.96,75,73,90,10.29
Selikhino,50.37,137.51,-1.68,57,0,5.75
Selizharovo,56.86,33.45,31.54,87,56,11.12
Semenivka,52.18,32.58,33.43,79,0,5.75
Semporna,4.48,118.61,77,94,75,3.36
Senador Jose Porfirio,-2.59,-51.95,82.57,83,88,4.74
Senekal,-28.32,27.62,66.37,65,24,6.64
Senno,57.76,27.95,48.2,31,92,11.18
Sesimbra,38.45,-9.1,75.2,33,0,11.41
Shahpur,22.19,77.91,66.37,46,0,5.3
Shahrud,36.42,54.97,34.69,65,0,4.63
Shamkhal,43.06,47.33,44.6,93,90,6.71
Shaowu,27.34,117.49,48.1,95,80,2.06
Shebekino,50.41,36.89,35.6,69,0,11.18
Shenkursk,62.11,42.91,32.35,81,64,10.45
Shihezi,44.3,86.03,21.73,69,76,1.61
Shwebo,22.57,95.7,73.39,76,24,8.66
Singkang,2.1,102.8,82.4,78,75,2.24
Sipoo,60.38,25.27,37.99,100,75,10.29
Sirjan,29.44,55.67,37.48,89,0,6.2
Sisimiut,66.94,-53.67,-6.81,71,68,2.28
Sistranda,63.73,8.83,37.99,93,75,46.08
Sitka,37.17,-99.65,57.99,69,12,5.01
Sivaganga,9.85,78.49,87.8,52,20,6.31
Skegness,53.14,0.34,50,61,75,6.93
Skelleftea,64.75,20.95,41,44,0,19.46
Soderhamn,61.3,17.06,45,38,0,11.99
Sol-Iletsk,51.16,55,21.46,81,20,6.53
Soria,41.76,-2.46,55.99,37,0,1.99
Sorong,-0.86,131.25,80.41,100,88,8.55
Spornoye,50.84,37.29,33.8,74,75,11.18
Springbok,-29.67,17.88,74.83,34,0,5.75
Sri Aman,1.24,111.46,77,94,8,2.28
Staunton,38.15,-79.07,57.99,21,1,12.75
Stettler,52.32,-112.71,34,97,20,4
Sucre,-19.05,-65.26,59.53,78,24,2.62
Sudbury,46.49,-80.99,35.01,49,5,12.75
Suez,29.97,32.54,64.57,39,68,4.85
Suileng,47.25,127.08,18.04,60,64,12.24
Sumbe,-11.2,13.84,84.2,100,75,8.05
Sume,43.62,20.22,57.2,47,0,4.7
Surt,31.21,16.59,58.99,98,92,9.22
Svelgen,61.77,5.3,39.2,93,88,19.46
Swan Hill,-35.34,143.56,64.75,74,92,2.95
Tabas,33.6,56.92,62.6,47,0,4.7
Taganak,6.08,118.3,78.8,88,40,2.24
Taicheng,22.25,112.8,55.99,92,100,1.99
Takaka,-40.86,172.81,63,95,0,4.18
Taksimo,56.36,114.84,15.97,54,32,4.74
Talakan,50.29,130.28,4.63,58,20,5.08
Taldan,53.69,124.82,15.79,74,76,4.97
Talwandi Bhai,30.86,74.93,63.49,81,0,6.31
Tambacounda,13.77,-13.67,93.2,36,0,6.93
Tambo,-24.88,146.25,72.22,66,0,10
Tamiahua,21.28,-97.45,75.19,96,36,10.22
Tanout,14.97,8.88,92.65,13,0,4.63
Taoudenni,22.68,-3.98,85.63,11,56,8.88
Taree,-31.91,152.46,68,100,12,2.24
Tari,12.41,4.49,93.55,24,0,4.52
Tautira,-17.73,-149.15,84,78,40,2.24
Taywarah,33.35,64.42,19.75,73,36,1.72
Te Anau,-45.41,167.72,50.89,87,92,3.06
Teguise,29.06,-13.56,68,60,20,21.92
Telimele,10.9,-13.03,91.39,31,92,3.96
Termiz,37.23,67.28,50,87,0,4.7
Terracina,41.29,13.25,60.01,67,0,3.06
Tezu,27.93,96.16,50.98,100,92,1.72
Tierranueva,21.68,-100.57,72.22,40,0,3.96
Tignere,7.37,12.65,66.82,87,88,4.18
Tiruchchendur,8.48,78.12,80.23,87,0,8.1
Tomatlan,19.93,-105.25,85.54,45,0,3.62
Tonantins,-2.86,-67.77,88.06,72,12,4.41
Tongren,27.72,109.18,42.97,83,92,5.41
Toppenish,46.38,-120.31,57,62,1,3.36
Tortoli,39.93,9.66,59,54,40,2.24
Tosya,41.02,34.04,34.78,58,44,7.65
Treuchtlingen,48.96,10.91,60.8,47,1,3.36
Tsiroanomandidy,-18.77,46.05,64.75,98,92,2.73
Tsumeb,-19.25,17.72,80.6,36,40,6.93
Tual,-5.67,132.75,85.09,96,24,11.12
Tukan,53.84,57.45,34.87,97,92,1.05
Tura,25.52,90.21,63.22,57,0,3.85
Turan,52.15,93.92,11.2,61,0,1.72
Twin Falls,42.57,-114.46,55.99,61,1,6.93
Uncia,-18.47,-66.57,66.19,23,0,2.95
Unity,52.44,-109.15,43,84,0,5.01
Upernavik,72.79,-56.15,-5.91,100,24,9.66
Ures,30.73,-112.95,73.99,29,0,1.01
Ushuaia,-54.81,-68.31,53.6,81,20,3.36
Ushumun,52.78,126.54,16.33,59,64,5.41
Ust-Ilimsk,57.96,102.73,23.8,79,76,6.31
Ust-Kishert,57.36,57.24,18.85,72,20,2.84
Ust-Kulom,61.69,53.69,25.69,71,12,5.64
Ust-Maya,60.42,134.54,-11.22,71,12,3.29
Ust-Uda,54.17,103.03,25.42,78,20,5.75
Utica,43.1,-75.23,32,54,1,19.46
Vargem Grande Do Sul,-21.83,-46.89,82,78,40,5.82
Varhaug,58.61,5.65,43,80,40,16.11
Varzea Grande,-29.42,-50.86,82,54,75,3.36
Vasai,22.43,69.93,74.29,52,0,7.99
Vega De Alatorre,20.03,-96.65,74.56,86,8,3.85
Verkhnyaya Inta,65.99,60.32,23.89,80,20,5.75
Vestmannaeyjar,63.44,-20.27,37.4,93,75,26.4
Victoria Point,-27.58,153.3,75.2,88,0,3.36
Vidim,50.47,14.53,64.4,54,0,2.24
Vieques,18.43,-65.83,86,65,40,16.11
Vigodarzere,45.46,11.88,69.8,34,0,3.36
Villa Guerrero,21.98,-103.59,71.68,30,0,2.62
Vilyuysk,63.75,121.63,12.19,72,88,8.32
Waddan,29.16,16.14,63.94,41,56,9.78
Wahpeton,46.27,-96.61,39.2,100,1,9.17
Waingapu,-9.65,120.26,75.28,93,56,5.41
Wankaner,22.62,70.95,86,27,0,8.66
Wapakoneta,40.57,-84.19,48,41,1,4.7
Waterloo,43.47,-80.52,42.01,40,1,17.22
Weinan,34.5,109.46,46.4,26,0,6.71
Wencheng,27.79,120.09,41.44,90,92,2.06
West Odessa,31.84,-102.48,73,26,0,4.7
Whitianga,-36.83,175.7,60.01,98,88,4.63
Wismar,53.89,11.46,48.2,57,20,5.82
Wonthaggi,-38.6,145.59,64.99,91,56,2.28
Worland,44.02,-107.96,54,40,1,3.36
Wronki,52.71,16.37,53.6,71,24,11.41
Wuning,29.26,120.23,34.87,75,12,3.18
Yabrud,33.97,36.66,55.4,58,40,5.82
Yakovlevo,50.85,36.44,33.8,74,75,11.18
Yamoussoukro,6.81,-5.27,93.2,46,0,9.17
Yankton,42.87,-97.4,48.99,65,20,12.75
Yaqui,27.37,-110.17,69.8,40,5,5.82
Yarensk,62.17,49.09,29.83,88,12,7.54
Yarovoye,52.92,78.56,31.09,76,48,6.64
Yenagoa,4.92,6.26,82.75,68,32,8.43
Yershichi,53.67,32.75,30.19,82,0,4.85
Yicheng,31.71,112.27,36.94,80,20,2.84
Ylojarvi,61.56,23.6,39.2,64,0,11.41
Zakharovo,54.37,39.28,36,58,0,1.99
Zaysan,47.47,84.87,18.67,62,0,2.73
Zdvinsk,54.7,78.67,31.18,92,88,5.64
Zhanakorgan,43.91,67.25,50.35,70,76,2.73
Zhangjiakou,40.77,114.88,19.48,51,0,5.97
Zhangye,38.94,100.46,29.29,58,44,5.86
Zhezkazgan,47.8,67.71,35.59,88,92,2.73
Zhmerynka,49.04,28.11,41,52,0,4.47
Zlobin,45.29,14.65,66.2,59,0,14.99
Zonguldak,41.25,31.83,40.99,82,8,8.77
Zvishavane,-20.32,30.05,69.88,75,92,10.67
